Product,date,Copyright,Counterfeit,Trademark,Metric
Facebook,2017-01-01,341274,33170,19901,content_removed
Instagram,2017-01-01,72999,16105,6282,content_removed
Facebook,2017-02-01,313706,26927,18074,content_removed
Instagram,2017-02-01,93123,15201,5699,content_removed
Facebook,2017-03-01,303439,36496,24470,content_removed
Instagram,2017-03-01,92056,18347,8423,content_removed
Facebook,2017-04-01,306503,42118,16828,content_removed
Instagram,2017-04-01,103313,17452,5145,content_removed
Facebook,2017-05-01,311856,41162,15767,content_removed
Instagram,2017-05-01,136552,17558,5837,content_removed
Facebook,2017-06-01,242016,37392,15937,content_removed
Instagram,2017-06-01,187953,23431,6092,content_removed
Facebook,2017-07-01,315304,36645,13277,content_removed
Instagram,2017-07-01,152067,18693,12409,content_removed
Facebook,2017-08-01,344189,35706,17690,content_removed
Instagram,2017-08-01,166675,16662,9235,content_removed
Facebook,2017-09-01,252103,32741,17880,content_removed
Instagram,2017-09-01,129642,17210,12894,content_removed
Facebook,2017-10-01,384951,58971,21109,content_removed
Instagram,2017-10-01,102088,30213,15622,content_removed
Facebook,2017-11-01,378652,78842,24804,content_removed
Instagram,2017-11-01,140547,40181,22516,content_removed
Facebook,2017-12-01,254021,61816,26165,content_removed
Instagram,2017-12-01,156426,31496,28625,content_removed
Facebook,2018-01-01,311935,73012,26028,content_removed
Instagram,2018-01-01,141799,27637,14052,content_removed
Facebook,2018-02-01,294137,70178,21404,content_removed
Instagram,2018-02-01,146240,30611,17730,content_removed
Facebook,2018-03-01,392215,76324,18622,content_removed
Instagram,2018-03-01,141058,32951,14720,content_removed
Facebook,2018-04-01,339203,75545,17770,content_removed
Instagram,2018-04-01,149290,31429,10206,content_removed
Facebook,2018-05-01,393335,73941,18982,content_removed
Instagram,2018-05-01,172789,37428,11620,content_removed
Facebook,2018-06-01,278403,72879,17525,content_removed
Instagram,2018-06-01,238874,39124,14716,content_removed
Facebook,2018-07-01,268189,79352,15951,content_removed
Instagram,2018-07-01,172862,39796,17566,content_removed
Facebook,2018-08-01,290977,78175,15655,content_removed
Instagram,2018-08-01,112901,41155,24066,content_removed
Facebook,2018-09-01,295310,68574,16542,content_removed
Instagram,2018-09-01,107673,59544,8659,content_removed
Facebook,2018-10-01,306747,79334,19443,content_removed
Instagram,2018-10-01,137398,56273,20116,content_removed
Facebook,2018-11-01,300940,91586,22240,content_removed
Instagram,2018-11-01,143695,68918,19825,content_removed
Facebook,2018-12-01,277793,60590,17723,content_removed
Instagram,2018-12-01,180925,58578,18091,content_removed
Facebook,2019-01-01,277394,80674,16944,content_removed
Instagram,2019-01-01,203885,61795,18536,content_removed
Facebook,2019-02-01,254542,61753,28701,content_removed
Instagram,2019-02-01,230640,51607,17752,content_removed
Facebook,2019-03-01,270770,76231,25869,content_removed
Instagram,2019-03-01,244231,54660,17886,content_removed
Facebook,2019-04-01,280879,83139,21537,content_removed
Instagram,2019-04-01,301921,66599,17477,content_removed
Facebook,2019-05-01,295043,86779,28011,content_removed
Instagram,2019-05-01,283366,67075,17234,content_removed
Facebook,2019-06-01,315049,73838,21278,content_removed
Instagram,2019-06-01,276673,57577,23997,content_removed
Facebook,2019-07-01,370118,110835,25847,content_removed
Instagram,2019-07-01,183418,75846,22075,content_removed
Facebook,2019-08-01,307979,78448,19975,content_removed
Instagram,2019-08-01,159333,77354,26574,content_removed
Facebook,2019-09-01,304182,91430,23007,content_removed
Instagram,2019-09-01,182244,71541,19295,content_removed
Facebook,2019-10-01,344138,122147,22324,content_removed
Instagram,2019-10-01,179158,76164,26263,content_removed
Facebook,2019-11-01,307784,132240,24058,content_removed
Instagram,2019-11-01,211159,88574,23859,content_removed
Facebook,2019-12-01,333072,132218,23411,content_removed
Instagram,2019-12-01,256730,84306,27402,content_removed
Facebook,2020-01-01,327464,125791,30154,content_removed
Instagram,2020-01-01,193510,83520,29019,content_removed
Facebook,2020-02-01,312246,88028,24176,content_removed
Instagram,2020-02-01,169295,78214,25590,content_removed
Facebook,2020-03-01,448607,134635,33950,content_removed
Instagram,2020-03-01,184627,76694,31192,content_removed
Facebook,2020-04-01,434623,144232,42575,content_removed
Instagram,2020-04-01,248126,78935,36496,content_removed
Facebook,2020-05-01,539199,163598,38563,content_removed
Instagram,2020-05-01,210761,80528,35878,content_removed
Facebook,2020-06-01,451304,172505,41964,content_removed
Instagram,2020-06-01,197055,82154,34521,content_removed
Facebook,2020-07-01,432854,157797,47986,content_removed
Instagram,2020-07-01,214660,92539,38168,content_removed
Facebook,2020-08-01,455982,151337,46447,content_removed
Instagram,2020-08-01,197630,81588,41781,content_removed
Facebook,2020-09-01,491451,143511,56303,content_removed
Instagram,2020-09-01,249199,101292,48795,content_removed
Facebook,2020-10-01,498198,142586,49640,content_removed
Instagram,2020-10-01,285790,93823,46227,content_removed
Facebook,2020-11-01,487186,151795,49529,content_removed
Instagram,2020-11-01,278617,97290,59848,content_removed
Facebook,2020-12-01,428870,134862,39521,content_removed
Instagram,2020-12-01,282485,91995,59843,content_removed
