Product,date,Copyright,Counterfeit,Trademark,Metric
Facebook,2017-01-01,32581,2248,6587,reports
Instagram,2017-01-01,8753,1330,2144,reports
Facebook,2017-02-01,35135,2180,6654,reports
Instagram,2017-02-01,10434,1484,2413,reports
Facebook,2017-03-01,37169,2248,7846,reports
Instagram,2017-03-01,12186,1707,3036,reports
Facebook,2017-04-01,39381,2078,6257,reports
Instagram,2017-04-01,11584,1768,2562,reports
Facebook,2017-05-01,42079,2665,7210,reports
Instagram,2017-05-01,13377,1751,3166,reports
Facebook,2017-06-01,38119,2860,7300,reports
Instagram,2017-06-01,13674,2191,3242,reports
Facebook,2017-07-01,36765,2824,6659,reports
Instagram,2017-07-01,12860,1771,2999,reports
Facebook,2017-08-01,41721,2661,7230,reports
Instagram,2017-08-01,25115,1614,3035,reports
Facebook,2017-09-01,41969,2869,6777,reports
Instagram,2017-09-01,18352,1461,3225,reports
Facebook,2017-10-01,46230,4295,7233,reports
Instagram,2017-10-01,19390,1820,3582,reports
Facebook,2017-11-01,45879,3497,7084,reports
Instagram,2017-11-01,20353,1709,3702,reports
Facebook,2017-12-01,42301,2757,5808,reports
Instagram,2017-12-01,22999,1402,3838,reports
Facebook,2018-01-01,49562,3597,7432,reports
Instagram,2018-01-01,21395,1534,4315,reports
Facebook,2018-02-01,48294,2676,7430,reports
Instagram,2018-02-01,21037,1631,4433,reports
Facebook,2018-03-01,55009,3085,7157,reports
Instagram,2018-03-01,23825,1912,4446,reports
Facebook,2018-04-01,61193,3133,6724,reports
Instagram,2018-04-01,21819,1613,4371,reports
Facebook,2018-05-01,59028,3157,7107,reports
Instagram,2018-05-01,24930,2033,4286,reports
Facebook,2018-06-01,54088,3383,7207,reports
Instagram,2018-06-01,26630,2074,4848,reports
Facebook,2018-07-01,61648,3595,8088,reports
Instagram,2018-07-01,29699,3033,5327,reports
Facebook,2018-08-01,56705,3275,7979,reports
Instagram,2018-08-01,27351,2601,6486,reports
Facebook,2018-09-01,54029,3416,7505,reports
Instagram,2018-09-01,26982,3455,5879,reports
Facebook,2018-10-01,54962,4124,7896,reports
Instagram,2018-10-01,30825,4441,6491,reports
Facebook,2018-11-01,58617,13739,7338,reports
Instagram,2018-11-01,28884,5915,6166,reports
Facebook,2018-12-01,51176,9447,5758,reports
Instagram,2018-12-01,30828,5788,6330,reports
Facebook,2019-01-01,62331,14773,6859,reports
Instagram,2019-01-01,33590,9084,7295,reports
Facebook,2019-02-01,55118,9496,6789,reports
Instagram,2019-02-01,32854,5726,6575,reports
Facebook,2019-03-01,60020,8499,9263,reports
Instagram,2019-03-01,33621,6663,7511,reports
Facebook,2019-04-01,59721,9764,9075,reports
Instagram,2019-04-01,31454,5521,7359,reports
Facebook,2019-05-01,61701,11101,9341,reports
Instagram,2019-05-01,33858,6655,8555,reports
Facebook,2019-06-01,68205,8710,8813,reports
Instagram,2019-06-01,36363,5590,9066,reports
Facebook,2019-07-01,63504,6554,10804,reports
Instagram,2019-07-01,33793,5271,12438,reports
Facebook,2019-08-01,69728,9063,11515,reports
Instagram,2019-08-01,34700,5232,12167,reports
Facebook,2019-09-01,67113,9042,11476,reports
Instagram,2019-09-01,34009,2692,10701,reports
Facebook,2019-10-01,69321,11076,12669,reports
Instagram,2019-10-01,32880,3529,12060,reports
Facebook,2019-11-01,56646,9293,11397,reports
Instagram,2019-11-01,27131,5523,11525,reports
Facebook,2019-12-01,58950,5916,9159,reports
Instagram,2019-12-01,28648,4675,11212,reports
Facebook,2020-01-01,57249,11928,10189,reports
Instagram,2020-01-01,31741,6042,12391,reports
Facebook,2020-02-01,63320,11052,10475,reports
Instagram,2020-02-01,30456,5124,12290,reports
Facebook,2020-03-01,68445,7532,12236,reports
Instagram,2020-03-01,34555,3309,13527,reports
Facebook,2020-04-01,75129,10017,14019,reports
Instagram,2020-04-01,40958,6186,15482,reports
Facebook,2020-05-01,84741,10946,14319,reports
Instagram,2020-05-01,43977,6024,17803,reports
Facebook,2020-06-01,86060,11967,15859,reports
Instagram,2020-06-01,42813,7059,17720,reports
Facebook,2020-07-01,92064,16417,19563,reports
Instagram,2020-07-01,45971,7126,21319,reports
Facebook,2020-08-01,97904,10380,21844,reports
Instagram,2020-08-01,43015,5664,20305,reports
Facebook,2020-09-01,100018,13906,22416,reports
Instagram,2020-09-01,45927,7835,25889,reports
Facebook,2020-10-01,107183,10393,17820,reports
Instagram,2020-10-01,49769,5936,18669,reports
Facebook,2020-11-01,101428,9431,18654,reports
Instagram,2020-11-01,44190,6824,48411,reports
Facebook,2020-12-01,99576,8463,17117,reports
Instagram,2020-12-01,48376,10285,58411,reports
