Product,date,Copyright,Counterfeit,Trademark,Metric
Facebook,2017-01-01,65.38,81.94,46.11,removal_rate
Instagram,2017-01-01,63.66,90.53,52.8,removal_rate
Facebook,2017-02-01,64.36,84.63,48.39,removal_rate
Instagram,2017-02-01,60.39,90.77,56.78,removal_rate
Facebook,2017-03-01,61.54,79.0,48.19,removal_rate
Instagram,2017-03-01,62.6,87.29,50.86,removal_rate
Facebook,2017-04-01,72.63,81.52,48.84,removal_rate
Instagram,2017-04-01,64.9,76.92,47.93,removal_rate
Facebook,2017-05-01,72.53,79.62,46.84,removal_rate
Instagram,2017-05-01,62.65,81.72,42.74,removal_rate
Facebook,2017-06-01,72.13,80.49,44.79,removal_rate
Instagram,2017-06-01,69.19,86.08,43.95,removal_rate
Facebook,2017-07-01,70.19,83.75,50.71,removal_rate
Instagram,2017-07-01,63.2,86.39,50.32,removal_rate
Facebook,2017-08-01,72.04,81.55,53.64,removal_rate
Instagram,2017-08-01,74.58,82.28,50.28,removal_rate
Facebook,2017-09-01,65.78,80.76,49.65,removal_rate
Instagram,2017-09-01,66.56,80.56,53.21,removal_rate
Facebook,2017-10-01,65.76,78.39,50.12,removal_rate
Instagram,2017-10-01,68.26,85.11,49.19,removal_rate
Facebook,2017-11-01,64.81,84.19,50.25,removal_rate
Instagram,2017-11-01,67.86,81.86,48.24,removal_rate
Facebook,2017-12-01,69.84,83.79,51.62,removal_rate
Instagram,2017-12-01,72.83,81.31,50.76,removal_rate
Facebook,2018-01-01,69.27,86.07,49.0,removal_rate
Instagram,2018-01-01,67.18,79.86,47.42,removal_rate
Facebook,2018-02-01,70.37,87.0,50.01,removal_rate
Instagram,2018-02-01,67.78,80.56,47.78,removal_rate
Facebook,2018-03-01,72.44,84.76,52.8,removal_rate
Instagram,2018-03-01,67.66,84.0,51.21,removal_rate
Facebook,2018-04-01,78.7,80.66,50.43,removal_rate
Instagram,2018-04-01,59.29,82.02,48.5,removal_rate
Facebook,2018-05-01,77.93,83.69,47.74,removal_rate
Instagram,2018-05-01,59.72,83.82,48.06,removal_rate
Facebook,2018-06-01,71.87,86.28,48.9,removal_rate
Instagram,2018-06-01,69.46,81.58,40.86,removal_rate
Facebook,2018-07-01,66.67,84.39,49.16,removal_rate
Instagram,2018-07-01,68.98,73.62,45.02,removal_rate
Facebook,2018-08-01,71.85,83.54,49.71,removal_rate
Instagram,2018-08-01,66.71,83.12,43.19,removal_rate
Facebook,2018-09-01,75.24,84.28,49.31,removal_rate
Instagram,2018-09-01,68.69,77.89,45.53,removal_rate
Facebook,2018-10-01,76.03,83.46,53.65,removal_rate
Instagram,2018-10-01,64.68,82.19,44.68,removal_rate
Facebook,2018-11-01,75.46,85.96,54.61,removal_rate
Instagram,2018-11-01,65.17,82.47,40.03,removal_rate
Facebook,2018-12-01,76.74,88.77,54.97,removal_rate
Instagram,2018-12-01,67.45,86.28,36.59,removal_rate
Facebook,2019-01-01,69.23,82.45,54.45,removal_rate
Instagram,2019-01-01,64.05,80.79,41.29,removal_rate
Facebook,2019-02-01,70.75,77.97,55.96,removal_rate
Instagram,2019-02-01,64.43,72.3,43.24,removal_rate
Facebook,2019-03-01,71.72,73.82,48.49,removal_rate
Instagram,2019-03-01,64.68,70.75,38.52,removal_rate
Facebook,2019-04-01,71.56,80.15,46.25,removal_rate
Instagram,2019-04-01,65.82,80.66,34.37,removal_rate
Facebook,2019-05-01,72.9,68.12,44.52,removal_rate
Instagram,2019-05-01,64.87,70.98,36.86,removal_rate
Facebook,2019-06-01,71.57,67.94,42.74,removal_rate
Instagram,2019-06-01,67.15,66.8,30.41,removal_rate
Facebook,2019-07-01,80.5,78.8,59.3,removal_rate
Instagram,2019-07-01,88.1,80.7,57.5,removal_rate
Facebook,2019-08-01,84.6,68.4,49.9,removal_rate
Instagram,2019-08-01,85.6,78.8,65.4,removal_rate
Facebook,2019-09-01,84.1,72.7,51.7,removal_rate
Instagram,2019-09-01,88.7,78.8,50.6,removal_rate
Facebook,2019-10-01,80.3,74.5,53.1,removal_rate
Instagram,2019-10-01,87.7,79.9,56.7,removal_rate
Facebook,2019-11-01,80.0,72.5,52.3,removal_rate
Instagram,2019-11-01,85.6,86.7,58.7,removal_rate
Facebook,2019-12-01,78.0,72.7,50.9,removal_rate
Instagram,2019-12-01,92.5,89.3,65.9,removal_rate
Facebook,2020-01-01,80.9,76.5,59.9,removal_rate
Instagram,2020-01-01,89.6,90.8,58.9,removal_rate
Facebook,2020-02-01,86.5,75.2,64.0,removal_rate
Instagram,2020-02-01,89.4,90.8,53.4,removal_rate
Facebook,2020-03-01,82.9,72.4,53.7,removal_rate
Instagram,2020-03-01,90.0,89.9,62.2,removal_rate
Facebook,2020-04-01,83.4,77.1,61.4,removal_rate
Instagram,2020-04-01,85.1,93.5,52.2,removal_rate
Facebook,2020-05-01,80.8,73.9,54.5,removal_rate
Instagram,2020-05-01,83.5,89.8,63.4,removal_rate
