Product,Metric,month,Copyright,Counterfeit,Trademark,,,
Facebook,content_removed,1,"311,935","73,012","26,028",,,
Facebook,removal_rate,1,69.27%,86.07%,49%,,,
Facebook,reports,1,"49,562","3,597","7,432",,,
Instagram,content_removed,1,"141,799","27,637","14,052",,,
Instagram,removal_rate,1,67.18%,79.86%,47.42%,,,
Instagram,reports,1,"21,395","1,534","4,315",,,
Facebook,content_removed,2,"294,137","70,178","21,404",,,
Facebook,removal_rate,2,70.37%,87%,50.01%,,,
Facebook,reports,2,"48,294","2,676","7,430",,,
Instagram,content_removed,2,"146,240","30,611","17,730",,,
Instagram,removal_rate,2,67.78%,80.56%,47.78%,,,
Instagram,reports,2,"21,037","1,631","4,433",,,
Facebook,content_removed,3,"392,215","76,324","18,622",,,
Facebook,removal_rate,3,72.44%,84.76%,52.80%,,,
Facebook,reports,3,"55,009","3,085","7,157",,,
Instagram,content_removed,3,"141,058","32,951","14,720",,,
Instagram,removal_rate,3,67.66%,84%,51.21%,,,
Instagram,reports,3,"23,825","1,912","4,446",,,
Facebook,content_removed,4,"339,203","75,545","17,770",,,
Facebook,removal_rate,4,78.70%,80.66%,50.43%,,,
Facebook,reports,4,"61,193","3,133","6,724",,,
Instagram,content_removed,4,"149,290","31,429","10,206",,,
Instagram,removal_rate,4,59.29%,82.02%,48.50%,,,
Instagram,reports,4,"21,819","1,613","4,371",,,
Facebook,content_removed,5,"393,335","73,941","18,982",,,
Facebook,removal_rate,5,77.93%,83.69%,47.74%,,,
Facebook,reports,5,"59,028","3,157","7,107",,,
Instagram,content_removed,5,"172,789","37,428","11,620",,,
Instagram,removal_rate,5,59.72%,83.82%,48.06%,,,
Instagram,reports,5,"24,930","2,033","4,286",,,
Facebook,content_removed,6,"278,403","72,879","17,525",,,
Facebook,removal_rate,6,71.87%,86.28%,48.90%,,,
Facebook,reports,6,"54,088","3,383","7,207",,,
Instagram,content_removed,6,"238,874","39,124","14,716",,,
Instagram,removal_rate,6,69.46%,81.58%,40.86%,,,
Instagram,reports,6,"26,630","2,074","4,848",,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
