Product,Metric,month,Copyright,Counterfeit,Trademark
Facebook,content_removed,7,"432,854","157,797","47,986"
Facebook,removal_rate,7,79.85%,74.12%,51.97%
Facebook,reports,7,"92,064","16,417","19,563"
Instagram,content_removed,7,"214,660","92,539","38,168"
Instagram,removal_rate,7,85.45%,94.02%,48.08%
Instagram,reports,7,"45,971","7,126","21,319"
Facebook,content_removed,8,"455,982","151,337","46,447"
Facebook,removal_rate,8,85.47%,79.41%,63.29%
Facebook,reports,8,"97,904","10,380","21,844"
Instagram,content_removed,8,"197,630","81,588","41,781"
Instagram,removal_rate,8,88.28%,94.25%,67.34%
Instagram,reports,8,"43,015","5,664","20,305"
Facebook,content_removed,9,"491,451","143,511","56,303"
Facebook,removal_rate,9,84.88%,79.91%,70.77%
Facebook,reports,9,"100,018","13,906","22,416"
Instagram,content_removed,9,"249,199","101,292","48,795"
Instagram,removal_rate,9,89.60%,93.99%,74.84%
Instagram,reports,9,"45,927","7,835","25,889"
Facebook,content_removed,10,"498,198","142,586","49,640"
Facebook,removal_rate,10,85.61%,81.09%,71.01%
Facebook,reports,10,"107,183","10,393","17,820"
Instagram,content_removed,10,"285,790","93,823","46,227"
Instagram,removal_rate,10,90.78%,95.43%,75.54%
Instagram,reports,10,"49,769","5,936","18,669"
Facebook,content_removed,11,"487,186","151,795","49,529"
Facebook,removal_rate,11,87.22%,81.88%,70.19%
Facebook,reports,11,"101,428","9,431","18,654"
Instagram,content_removed,11,"278,617","97,290","59,848"
Instagram,removal_rate,11,91.49%,94.93%,78.83%
Instagram,reports,11,"44,190","6,824","48,411"
Facebook,content_removed,12,"428,870","134,862","39,521"
Facebook,removal_rate,12,85.82%,79.73%,60.71%
Facebook,reports,12,"99,576","8,463","17,117"
Instagram,content_removed,12,"282,485","91,995","59,843"
Instagram,removal_rate,12,90.90%,93.22%,74.79%
Instagram,reports,12,"48,376","10,285","58,411"
